Iteration	Solution Residual	Mass Conservation Residual	Hematocrit Residual
1	0.846726	0	0.0155184
2	0.0503816	0	0.00687806
3	0.00813033	0	0.00300343
4	0.00237278	0	0.00141598
5	0.00123053	0	0.000669394
6	0.000634101	0	0.000321365
7	0.000326087	0	0.000158543
8	0.000172004	0	8.10003e-05
9	9.27782e-05	0	4.30285e-05
10	5.11313e-05	0	2.3714e-05
