Iteration	Solution Residual	Mass Conservation Residual	Hematocrit Residual
1	0.610716	0	0.0162977
2	0.0335112	0	0.00819946
3	0.00989264	0	0.00376097
4	0.00438344	0	0.00181905
5	0.00216221	0	0.000908315
6	0.00112991	0	0.000465588
7	0.000606167	0	0.000245519
8	0.000329515	0	0.000133058
9	0.000182097	0	7.38667e-05
10	0.000102286	0	4.18371e-05
