Iteration	Solution Residual	Mass Conservation Residual	Hematocrit Residual
1	0.73653	0	0.0144012
2	0.074052	0	0.00814683
3	0.0105879	0	0.00391129
4	0.00471422	0	0.00183078
5	0.00216987	0	0.00086661
6	0.0010582	0	0.000414744
7	0.000529399	0	0.000201856
8	0.000269576	0	0.000100941
9	0.00014001	0	5.23956e-05
10	7.43818e-05	0	2.8389e-05
