Iteration	Solution Residual	Mass Conservation Residual	Hematocrit Residual
1	2.27814	0	0.41594
2	0.71518	0	0.154262
3	0.190873	0	0.0546422
4	0.0542209	0	0.0317186
5	0.0321379	0	0.0185697
6	0.0189578	0	0.0109727
7	0.0112485	0	0.00652186
8	0.00670214	0	0.00389018
9	0.00400356	0	0.00232535
10	0.00239521	0	0.00139175
11	0.00143431	0	0.000833612
12	0.000859368	0	0.000499536
13	0.000515063	0	0.000299426
14	0.000308766	0	0.000179509
15	0.000185119	0	0.000107628
16	0.000110996	0	6.45351e-05
17	6.6555e-05	0	3.86974e-05
18	3.99088e-05	0	2.32049e-05
19	2.39313e-05	0	1.39151e-05
20	1.43506e-05	0	8.34441e-06
