Iteration	Solution Residual	Mass Conservation Residual	Hematocrit Residual
1	0.375598	0	0.0593562
2	0.0529541	0	0.00378314
3	0.0061834	0	0.000859605
4	0.00175585	0	0.000342166
5	0.000652775	0	0.000132032
6	0.000255736	0	5.12339e-05
7	0.000101433	0	2.00819e-05
8	4.04237e-05	0	7.92643e-06
9	1.61539e-05	0	3.14292e-06
10	6.46678e-06	0	1.24999e-06
11	2.59176e-06	0	4.98155e-07
12	1.03949e-06	0	1.98809e-07
13	4.17141e-07	0	7.94248e-08
14	1.67437e-07	0	3.17573e-08
15	6.72432e-08	0	1.27077e-08
