Iteration	Solution Residual	Mass Conservation Residual	Hematocrit Residual
1	0.862568	0	0.00335902
2	0.0126879	0	0.000118864
3	0.00053634	0	6.40283e-06
4	4.23187e-05	0	2.51616e-07
5	3.19018e-06	0	2.17223e-08
6	2.85678e-07	0	7.61506e-10
7	2.42691e-08	0	1.83684e-10
8	2.15461e-09	0	5.2985e-12
9	1.84983e-10	0	1.44433e-12
10	1.64697e-11	0	4.64864e-14
11	1.40913e-12	0	8.59872e-15
12	1.47914e-13	0	4.95405e-15
